Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Junior разработчик С++,Элекард,от 30 000 ₽ на руки,https://tomsk.hh.ru/vacancy/98423853?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С,ОАО Манотомь,Not specified,https://tomsk.hh.ru/vacancy/88664942?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend Developer,InlyIT,100 000 – 220 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104423359?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend Developer,VR DEV,Not specified,https://tomsk.hh.ru/vacancy/104404932?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle PHP fullstack разработчик,BlaBlaCar,Not specified,https://tomsk.hh.ru/vacancy/105042161?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,Элком +,Not specified,https://tomsk.hh.ru/vacancy/76111244?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист .Net Developer C# (Middle/Middle+),ООО Инфоматикс,от 120 000 ₽ на руки,https://tomsk.hh.ru/vacancy/104180877?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Java разработчик (Стажер),Центр финансовых технологий,Not specified,https://tomsk.hh.ru/vacancy/103489248?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior\Middle С# .Net Developer,InlyIT,80 000 – 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/88495954?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Unity VR/AR developer (Junior),VR DEV,Not specified,https://tomsk.hh.ru/vacancy/104404384?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Erlang разработчик,UserGate,Not specified,https://tomsk.hh.ru/vacancy/95684202?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior+ Unity developer,InlyIT,90 000 – 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/81332498?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик (php),Smart World (Умный мир),Not specified,https://tomsk.hh.ru/vacancy/105358374?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (senior),"Компания ЭлеСи, Томск",Not specified,https://tomsk.hh.ru/vacancy/101334468?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С,Sibedge,Not specified,https://tomsk.hh.ru/vacancy/104976047?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Морской Инженер-программист АСУ ТП,Агентство кадровых решениий,130 000 – 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105207208?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист ПЦН,ООО ЧОП Барс-Лидер,от 45 000 ₽ на руки,https://tomsk.hh.ru/vacancy/95676831?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Embedded разработчик C/C++,UserGate,от 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/98510580?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C# разработчик,Антереал,Not specified,https://tomsk.hh.ru/vacancy/95249085?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
